tod,ccmtype,room,region,ord,priority,ip,value,id
2023-10-12 13:29:06,FLOW.mNB,0,0,0,1,192.168.120.5,0,737777767
2023-10-12 13:30:00,FLOW.mNB,0,0,0,1,192.168.120.5,0,737778994
2023-10-12 13:31:01,FLOW.mNB,0,0,0,1,192.168.120.5,0,737780593
2023-10-12 13:32:00,FLOW.mNB,0,0,0,1,192.168.120.5,0,737782129
2023-10-12 13:33:00,FLOW.mNB,0,0,0,1,192.168.120.5,0,737783681
2023-10-12 13:34:01,FLOW.mNB,0,0,0,1,192.168.120.5,0,737785259
2023-10-12 13:35:00,FLOW.mNB,0,0,0,1,192.168.120.5,0,737786745
2023-10-12 13:36:01,FLOW.mNB,0,0,0,1,192.168.120.5,0,737788343
2023-10-12 13:37:00,FLOW.mNB,0,0,0,1,192.168.120.5,0,737789860
